Month,Total_Days,Available_Days,Booked_Days,Occupancy_Rate (%),Month_Number
January,947205,534999,412206,43.52,1
February,855540,486975,368565,43.08,2
March,947205,490365,456840,48.23,3
April,916650,443442,473208,51.62,4
May,947205,448214,498991,52.68,5
June,916651,336349,580302,63.31,6
July,947205,379024,568181,59.99,7
August,947205,505570,441635,46.63,8
September,916650,499224,417426,45.54,9
October,947205,524797,422408,44.6,10
November,916650,536468,380182,41.48,11
December,947205,522360,424845,44.85,12
